# FFToday 2026 projections. Format: Name | Team | Pos | RecTD
Puka Nacua | LAR | WR | 9
Ja'Marr Chase | CIN | WR | 11
Amon-Ra St. Brown | DET | WR | 10
Jaxon Smith-Njigba | SEA | WR | 8
Drake London | ATL | WR | 7
Justin Jefferson | MIN | WR | 7
CeeDee Lamb | DAL | WR | 8
Chris Olave | NO | WR | 7
A.J. Brown | NE | WR | 7
Nico Collins | HOU | WR | 7
Rashee Rice | KC | WR | 7
Garrett Wilson | NYJ | WR | 5
Zay Flowers | BAL | WR | 6
Malik Nabers | NYG | WR | 7
DeVonta Smith | PHI | WR | 6
George Pickens | DAL | WR | 7
Jameson Williams | DET | WR | 7
Davante Adams | LAR | WR | 10
Emeka Egbuka | TB | WR | 7
Tetairoa McMillan | CAR | WR | 6
Christian Watson | GB | WR | 7
Mike Evans | SF | WR | 7
D.J. Moore | BUF | WR | 6
Tee Higgins | CIN | WR | 8
Jaylen Waddle | DEN | WR | 6
Ladd McConkey | LAC | WR | 6
Rome Odunze | CHI | WR | 7
Luther Burden III | CHI | WR | 6
DK Metcalf | PIT | WR | 6
Terry McLaurin | WAS | WR | 6
Marvin Harrison Jr. | ARI | WR | 6
Courtland Sutton | DEN | WR | 7
Michael Pittman Jr. | PIT | WR | 5
Alec Pierce | IND | WR | 5
Jayden Reed | GB | WR | 5
Carnell Tate | TEN | WR | 5
Jakobi Meyers | JAX | WR | 5
Parker Washington | JAX | WR | 5
Chris Godwin | TB | WR | 5
Xavier Worthy | KC | WR | 4
Brian Thomas Jr. | JAX | WR | 5
Michael Wilson | ARI | WR | 4
Stefon Diggs | WAS | WR | 5
Khalil Shakir | BUF | WR | 4
Jordan Addison | MIN | WR | 5
Wan'Dale Robinson | TEN | WR | 3
Romeo Doubs | NE | WR | 5
Quentin Johnston | LAC | WR | 6
Josh Downs | IND | WR | 4
Matthew Golden | GB | WR | 5
Brock Bowers | LV | TE | 7
Trey McBride | ARI | TE | 7
Colston Loveland | CHI | TE | 6
Tyler Warren | IND | TE | 5
Harold Fannin Jr. | CLE | TE | 5
Kyle Pitts | ATL | TE | 4
Travis Kelce | KC | TE | 4
Sam LaPorta | DET | TE | 5
Mark Andrews | BAL | TE | 6
Tucker Kraft | GB | TE | 5
Dallas Goedert | PHI | TE | 6
Jake Ferguson | DAL | TE | 5
George Kittle | SF | TE | 5
Dalton Kincaid | BUF | TE | 5
Hunter Henry | NE | TE | 5
Isaiah Likely | NYG | TE | 4
Dalton Schultz | HOU | TE | 3
Juwan Johnson | NO | TE | 3
Pat Freiermuth | PIT | TE | 5
Greg Dulcich | MIA | TE | 4
Brenton Strange | JAX | TE | 4
T.J. Hockenson | MIN | TE | 3
AJ Barner | SEA | TE | 4
Terrance Ferguson | LAR | TE | 5
Cade Otton | TB | TE | 3
Chigoziem Okonkwo | WAS | TE | 3
Evan Engram | DEN | TE | 3
Mike Gesicki | CIN | TE | 4
Gunnar Helm | TEN | TE | 3
Mason Taylor | NYJ | TE | 2
Darren Waller | CAR | TE | 4
Michael Mayer | LV | TE | 3
David Njoku | LAC | TE | 3
Kenyon Sadiq | NYJ | TE | 2
Oronde Gadsden | LAC | TE | 3
Cole Kmet | CHI | TE | 3
Dawson Knox | BUF | TE | 3
Colby Parkinson | LAR | TE | 3
Darnell Washington | PIT | TE | 2
Theo Johnson | NYG | TE | 2
Jake Tonges | SF | TE | 2
Noah Fant | NO | TE | 2
Austin Hooper | ATL | TE | 2
Noah Gray | KC | TE | 2
Tyler Higbee | LAR | TE | 2
Elijah Arroyo | SEA | TE | 2
Tommy Tremble | CAR | TE | 2
Luke Musgrave | GB | TE | 1
Josh Oliver | MIN | TE | 2
Charlie Kolar | LAC | TE | 1
